row,listing_type,project_name,area,code,folder
389,rental,Swiss Garden Residence,Kuala Lumpur,-,swissgardenresidence-
395,subsale,M Centura,Kuala Lumpur,EXP,mcenturaEXP
396,subsale,Central Residence,Kuala Lumpur,EXP,centralresidenceEXP
398,subsale,Rampai Court,Kuala Lumpur,EXP,rampaicourtEXP
400,subsale,Savvy @ Riana Dutamas,Kuala Lumpur,EXP,savvyrianadutamasEXP
401,subsale,Menara Duta 2,Kuala Lumpur,EXP,menaraduta2EXP
409,rental,Seri Wahyu Residence,Kuala Lumpur,ADL,seriwahyuresidenceADL
410,rental,The Nest Residences,Kuala Lumpur,ADL,thenestresidencesADL
411,rental,Neu Suites Residence,Kuala Lumpur,EX,neusuitesresidenceEX
413,subsale,2 Storey Terrace Taman Wangsa Melawati,Kuala Lumpur,EXP,2storeyterracetamanwangsamelawatiEXP
414,rental,Savvy @ Riana Dutamas,Kuala Lumpur,FPR,savvyrianadutamasFPR
415,rental,Savvy @ Riana Dutamas,Kuala Lumpur,FPR,savvyrianadutamasFPR
416,subsale,Cubic Botanical,Kuala Lumpur,EXP,cubicbotanicalEXP
418,subsale,Taman Sri Sinar,Kuala Lumpur,EXP,tamansrisinarEXP
420,rental,The Scott Garden SOHO,Kuala Lumpur,NLH,thescottgardensohoNLH
425,room,AraTre Residences,Petaling Jaya / Damansara,DPM,aratreresidencesDPM
426,room,AraTre Residences,Petaling Jaya / Damansara,DPM,aratreresidencesDPM
427,room,Emporis Residence,Petaling Jaya / Damansara,DPM,emporisresidenceDPM
431,room,Novo Ampang,Ampang,-,novoampang-
432,room,Novo Ampang,Ampang,-,novoampang-
437,subsale,Ketumbar Heights,Cheras,EXP,ketumbarheightsEXP
438,subsale,Seasons Garden Residences,Kuala Lumpur,EXP,seasonsgardenresidencesEXP
439,subsale,Sri Lata Condominium,Kuala Lumpur,EXP,srilatacondominiumEXP
442,rental,Alam Puri,Kuala Lumpur,ADL,alampuriADL
444,rental,Razak City Residences,Kuala Lumpur,EX,razakcityresidencesEX
446,rental,Hedgeford 10 Residence,Kuala Lumpur,ADL,hedgeford10residenceADL
447,subsale,Sri Putramas 1,Kuala Lumpur,EXP,sriputramas1EXP
449,subsale,Residensi Pandanmas 2,Kuala Lumpur,EXP,residensipandanmas2EXP
451,subsale,2 Storey Terrace Bandar Kinrara BK4,Puchong,EXP,2storeyterracebandarkinrarabk4EXP
452,rental,Datum Jelatek LINQ Sky Residence,Kuala Lumpur,EX,datumjelateklinqskyresidenceEX
453,subsale,2 Storey Terrace Bandar Mahkota Cheras,Cheras,EXP,2storeyterracebandarmahkotacherasEXP
455,rental,Cubic Botanical,Kuala Lumpur,ADL,cubicbotanicalADL
456,rental,Arte @ Mont Kiara,Kuala Lumpur,FPR,artemontkiaraFPR
458,rental,Bukit Gembira Condominium,Kuala Lumpur,ADL,bukitgembiracondominiumADL
459,subsale,Seri Maya Condo,Kuala Lumpur,EXP,serimayacondoEXP
460,subsale,Saville @ Taman Melawati,Kuala Lumpur,EXP,savilletamanmelawatiEXP
461,subsale,Nilam Puri Condominium,Puchong,DPM,nilampuricondominiumDPM
462,subsale,2 Storey Terrace Taman Segambut SPPK,Kuala Lumpur,REG,2storeyterracetamansegambutsppkREG
464,subsale,Endah Ria Condominium,Kuala Lumpur,EXP,endahriacondominiumEXP
466,subsale,Villa Wangsamas,Kuala Lumpur,RSS,villawangsamasRSS
