Project,Area,Zone,Type,Bed,Bath,Size (sqft),Tenure,Price (RM),Installment (RM/mo),Rental Unfurnished,CF Unfurnished,Rental Partial,CF Partial,Rental Fully,CF Fully,Yield% Partial,Yield% Fully,CF Rating (Best Case),Cash Out (RM),Break-even Unfurnished (Year),Break-even Partial (Year),Break-even Fully (Year),5yr ROI%,10yr ROI%,20yr ROI%,Ann.Ret% 5yr,Ann.Ret% 10yr,Ann.Ret% 20yr,Exit Value 10yr (RM),Equity 10yr (RM),Equity Gain 10yr (RM),Cumulative CF Unfurnished 10yr (RM),Cumulative CF Partial 10yr (RM),Cumulative CF Fully 10yr (RM),Selling Cost 10yr (RM),Equity Gain 10yr Net of Selling Cost (RM),Rental Source,Date Added,Code,Source Link
Suasana Lumayan Condominium Penthouse,Cheras,Bandar Sri Permaisuri,Penthouse,5,3.0,3542,Leasehold,1250000,5700,4500,-1200,5200,-500,7650,1950,4.99,7.34,🟢 Strong,187500,14,9,4,89.1,232.1,597.2,17.8,23.2,29.9,1523743,622705,435205,-144000,-60000,234000,53893,381312,"[Unfurnished] Citywide PSF Avg, Strata >=1500sqft (RM4.62/sqft, n=2) | Citywide | [Partial] Citywide PSF Avg, Strata >=1500sqft (RM1.47/sqft, n=14) | Citywide | [Fully] Citywide PSF Avg, Strata >=1500sqft (RM2.15/sqft, n=19) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 16350.0->4500 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/7887
Pandan Heights Condominium,Kuala Lumpur,Taman Pandan Perdana,Duplex Condominium,6,3.0,2148,Freehold,495000,2257,2500,243,2850,593,3100,843,6.91,7.52,🟢 Strong,79350,6,5,4,76.9,210.7,552.3,15.4,21.1,27.6,603402,246561,167211,29160,71160,101160,23154,144057,"[Unfurnished] Est. from Partial x0.87, Citywide listings.csv pool discarded (n=3, contaminated by SOHO/business service residence outliers) | [Partial] Web median, same-project (RM1.33/sqft, n=14 mixed-furnish listings) | Mudah/EdgeProp — material gap vs Area PSF Median (RM1.71/sqft, n=5), live comp used | [Fully] Web, same-project (RM1.44/sqft, n=1) | Mudah — material gap vs Area PSF Median (RM2.68/sqft, n=6), live comp used, thin sample (n=1)",8/6/2026,EXP,https://telegram.me/extremeproperty_listing/18154
Fern Lodge,Kuala Lumpur,Taman Tan Yew Lai,Condominium,4,3.0,2228,Freehold,850000,3876,3300,-576,3800,-76,5250,1374,5.36,7.41,🟢 Strong,129000,11,8,4,86.9,228.2,589.1,17.4,22.8,29.5,1036145,423440,294440,-69120,-9120,164880,37607,256833,"[Unfurnished] Citywide PSF Avg, Strata >=1500sqft (RM4.62/sqft, n=2) | Citywide | [Partial] Area PSF Avg, Strata >=1500sqft (RM1.71/sqft, n=5) | Kuala Lumpur | [Fully] Area PSF Avg, Strata >=1500sqft (RM2.36/sqft, n=7) | Kuala Lumpur | CORRECTED (audit 19/07/2026): Unfurnished 10300.0->3300 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",14/6/2026,EXP,https://telegram.me/extremeproperty_listing/18497
The iResidence,Cheras,Bandar Mahkota Cheras,Condominium,4,2.0,1507,Freehold,450000,2052,1900,-152,2200,148,3250,1198,5.87,8.67,🟢 Strong,73500,10,7,4,73.7,205.0,540.3,14.7,20.5,27.0,548547,224174,150674,-18240,17760,143760,21321,129353,"[Unfurnished] Citywide PSF Avg, Strata >=1500sqft (RM4.62/sqft, n=2) | Citywide | [Partial] Citywide PSF Avg, Strata >=1500sqft (RM1.47/sqft, n=14) | Citywide | [Fully] Citywide PSF Avg, Strata >=1500sqft (RM2.15/sqft, n=19) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 6950.0->1900 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/4/2026,DPM,https://telegram.me/DeePropmall/1766
Prima Duta,Kuala Lumpur,Dutamas (Taman Segambut SPPK),Condominium,3,3.0,1614,Freehold,650000,2964,2400,-564,2750,-214,3800,836,5.08,7.02,🟢 Strong,101000,13,9,5,82.5,220.6,573.1,16.5,22.1,28.7,792346,323807,222807,-67680,-25680,100320,29464,193343,"[Unfurnished] Citywide PSF Avg, Strata >=1500sqft (RM4.62/sqft, n=2) | Citywide | [Partial] Area PSF Avg, Strata >=1500sqft (RM1.71/sqft, n=5) | Kuala Lumpur | [Fully] Area PSF Avg, Strata >=1500sqft (RM2.36/sqft, n=7) | Kuala Lumpur | CORRECTED (audit 19/07/2026): Unfurnished 7450.0->2400 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",10/6/2026,EXP,https://telegram.me/extremeproperty_listing/18307
Ampang Putra Residency,Ampang,Taman Putra Sulaiman,Penthouse Condominium,4,5.0,2490,Leasehold,1650000,7524,3200,-4324,3650,-3874,6350,-1174,2.65,4.62,🔴 Negative,247500,,,12,89.1,232.1,597.2,17.8,23.2,29.9,2011341,821971,574471,-518880,-464880,-140880,70179,504292,"[Unfurnished] Citywide PSF Avg, Strata >=1500sqft (RM4.62/sqft, n=2) | Citywide | [Partial] Citywide PSF Avg, Strata >=1500sqft (RM1.47/sqft, n=14) | Citywide | [Fully] Area PSF Avg, Strata >=1500sqft (RM2.55/sqft, n=3) | Ampang | CORRECTED (audit 19/07/2026): Unfurnished 11500.0->3200 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",8/6/2026,EXP,https://telegram.me/extremeproperty_listing/18218
Seri Riana Residence,Setapak,Wangsa Maju,Condominium,3,2.0,1535,Leasehold,855000,3899,1950,-1949,2250,-1649,3300,-599,3.16,4.63,🟠 Mild -ve,129700,,,12,87.0,228.4,589.5,17.4,22.8,29.5,1042240,425961,296261,-233880,-197880,-71880,37811,258450,"[Unfurnished] Citywide PSF Avg, Strata >=1500sqft (RM4.62/sqft, n=2) | Citywide | [Partial] Citywide PSF Avg, Strata >=1500sqft (RM1.47/sqft, n=14) | Citywide | [Fully] Citywide PSF Avg, Strata >=1500sqft (RM2.15/sqft, n=19) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 7100.0->1950 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/10997
The Era Residence @ Duta North,Kuala Lumpur,Segambut,Service Residence,5,5.0,2411,Freehold,1800000,8208,3600,-4608,4150,-4058,5700,-2508,2.77,3.8,🔴 Negative,270000,,,20,89.1,232.1,597.2,17.8,23.2,29.9,2194190,896695,626695,-552960,-486960,-300960,76286,550409,"[Unfurnished] Citywide PSF Avg, Strata >=1500sqft (RM4.62/sqft, n=2) | Citywide | [Partial] Area PSF Avg, Strata >=1500sqft (RM1.71/sqft, n=5) | Kuala Lumpur | [Fully] Area PSF Avg, Strata >=1500sqft (RM2.36/sqft, n=7) | Kuala Lumpur | CORRECTED (audit 19/07/2026): Unfurnished 11150.0->3600 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",28/6/2026,EXP,https://telegram.me/extremeproperty_listing/19222
The Pulse Residence,Puchong,Bandar Puteri Puchong,Condominium,5,3.0,1682,Freehold,1260000,5746,2150,-3596,2450,-3296,3600,-2146,2.33,3.43,🔴 Negative,189000,,,27,89.1,232.1,597.3,17.8,23.2,29.9,1535933,627747,438747,-431520,-395520,-257520,54300,384447,"[Unfurnished] Citywide PSF Avg, Strata >=1500sqft (RM4.62/sqft, n=2) | Citywide | [Partial] Citywide PSF Avg, Strata >=1500sqft (RM1.47/sqft, n=14) | Citywide | [Fully] Citywide PSF Avg, Strata >=1500sqft (RM2.15/sqft, n=19) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 7750.0->2150 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",3/7/2026,DPM,https://telegram.me/DeePropmall/2407
V Residence 3,Cheras,Sunway Velocity,Condominium,4,3.0,1577,Freehold,1300000,5928,2000,-3928,2300,-3628,3400,-2528,2.12,3.14,🔴 Negative,195000,,,,89.1,232.1,597.2,17.8,23.2,29.9,1584693,647613,452613,-471360,-435360,-303360,55929,396684,"[Unfurnished] Citywide PSF Avg, Strata >=1500sqft (RM4.62/sqft, n=2) | Citywide | [Partial] Citywide PSF Avg, Strata >=1500sqft (RM1.47/sqft, n=14) | Citywide | [Fully] Citywide PSF Avg, Strata >=1500sqft (RM2.15/sqft, n=19) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 7300.0->2000 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/13708
