listing_type,status,Demand %,area,zone,project_name,tenant_restriction,price,Notes,estimated mv,installment,parking/floor,bed,bath,size,furnishing,type,tenure,room_type,bath_type,anchors,image,wa_text,date_added,source_link,move_in_date,code,lelong_date
rental,rented,-,Cyberjaya / Putrajaya,IOI Resort City,Conezion Residences,-,2400,-,-,-,,2,2,783,Fully Furnished,Service Residence,-,-,-,IOI City Mall Putrajaya | Hospital Serdang | Universiti Putra Malaysia (UPM) | SILK Highway,https://www.haniproperties.com/images/unitpic/conezionresidencesFPR/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Conezion Residences, IOI Resort City. Price: RM2400. Ref: FPR",22/7/2026,https://t.me/fathurpropertyrental/28198,Sep-26,FPR,-
rental,MIA,-,Cheras,Bandar Sri Permaisuri,PIXEL City Sentral,-,2700,-,-,-,,3,3,1100,Partially Furnished,Condominium,-,-,-,LRT/KTM Salak Selatan Station | Mid Valley Megamall | Sunway Velocity Mall | Pantai Hospital Cheras,https://www.haniproperties.com/images/unitpic/pixelcitysentralMMN/pic1.jpg,"Hi Hani, I'm interested in the unit rental at PIXEL City Sentral, Bandar Sri Permaisuri. Price: RM2700. Ref: MMN",22/7/2026,https://t.me/AniListings/3196,1/8/2026,MMN,-
rental,rented,-,Shah Alam,Seksyen 13,Pangsapuri Perdana,Malaysian Only | Female Students Preferred | Muslim Local,1500,-,-,-,,3,2,850,Partially Furnished,Apartment,-,-,-,LRT Stadium Shah Alam | KTM Batu Tiga | AEON Mall Shah Alam | MSU,https://www.haniproperties.com/images/unitpic/pangsapuriperdanaMMN/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Pangsapuri Perdana, Seksyen 13. Price: RM1500. Ref: MMN",22/7/2026,https://t.me/AniListings/3180,Immediate,MMN,-
rental,rented,-,Puchong,Taman Putra Prima,Koi Prima,-,1350,-,-,-,,3,2,1098,Partially Furnished,Condominium,-,-,-,Puchong Prima LRT Station | IOI Mall Puchong | SetiaWalk Puchong | Lotus's Puchong | LDP Highway,https://www.haniproperties.com/images/unitpic/koiprimaADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Koi Prima, Taman Putra Prima. Price: RM1350. Ref: ADL",22/7/2026,https://t.me/adiblisting/8758,Immediate,ADL,-
rental,rented,-,Setapak,Setapak Jaya,MH Platinum 2,Malaysian Only,1000,-,-,-,,1,1,300,Fully Furnished,Service Residence,-,-,-,LRT Wangsa Maju | Setapak Central Mall | Platinum Walk | Giant Hypermarket Setapak | DUKE Highway,https://www.haniproperties.com/images/unitpic/mhplatinum2ADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at MH Platinum 2, Setapak Jaya. Price: RM1200. Ref: ADL",22/7/2026,https://t.me/adiblisting/8770,Immediate,ADL,-
rental,rented,-,Shah Alam,Seksyen 7,Kristal Heights,Students Welcome,2000,-,-,-,,3,2,1007,Partially Furnished,Condominium,-,-,-,LRT3 | Bus Stop UiTM Shah Alam | Hospital Shah Alam | UiTM Shah Alam | UNISEL Shah Alam,https://www.haniproperties.com/images/unitpic/kristalheightsHF/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Kristal Heights, Seksyen 7. Price: RM2000. Ref: HF",22/7/2026,https://t.me/iqalisting/3000,Immediate,HF,-
rental,rented,-,Kuala Lumpur,Keramat,Pangsapuri Bukit Baru,-,1200,,,-,,3,2,750,-,Apartment,-,-,-,LRT Setiawangsa | Pasar Keramat | Hospital Kuala Lumpur | UTM Jalan Semarak | DUKE Highway,https://www.haniproperties.com/images/unitpic/pangsapuribukitbaruEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Pangsapuri Bukit Baru, Keramat. Price: RM1200. Ref: EX",21/7/2026,https://t.me/RumahSewaKLSlgrBelowRM2000/28345,Aug-26,EX,-
rental,rented,-,Kuala Lumpur,Taman Ikan Emas,Pangsapuri Indah Mas,-,1200,,,-,,3,1,900,Unfurnished,Apartment,-,-,-,LRT Miharja | AEON Maluri | IKEA Cheras | Hospital UKM | Sungai Besi Highway,https://www.haniproperties.com/images/unitpic/pangsapuriindahmasEX/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Pangsapuri Indah Mas, Taman Ikan Emas. Price: RM1200. Ref: EX",21/7/2026,https://t.me/RumahSewaKLSlgrBelowRM2000/28349,Immediate,EX,-
rental,rented,-,Seri Kembangan,Taman Equine,One Equine,-,1600,,,-,,2,1,-,Unfurnished,Service Residence,-,-,-,Taman Equine MRT Station | AEON Taman Equine | Giant Hypermarket | Universiti Putra Malaysia | MEX Highway,https://www.haniproperties.com/images/unitpic/oneequineADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at One Equine, Taman Equine. Price: RM1600. Ref: ADL",21/7/2026,https://t.me/adiblisting/8674,Aug-26,ADL,-
rental,rented,-,Rawang,Bukit Rawang Putra,125 Rich Residence,Malaysian Only | Family Preferred,1300,,,-,,3,2,850,Partially Furnished,Apartment,-,-,-,Rawang KTM Station | AEON Rawang | Lotus's Rawang | KPJ Rawang Specialist Hospital | LATAR Expressway,https://www.haniproperties.com/images/unitpic/125richresidenceADL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at 125 Rich Residence, Bukit Rawang Putra. Price: RM1300. Ref: ADL",21/7/2026,https://t.me/adiblisting/8729,Immediate,ADL,-
rental,rented,-,Petaling Jaya / Damansara,Kota Damansara,Palma Perak,Muslim Preferred,1500,,,-,,3,2,950,Partially Furnished,Apartment,-,-,-,MRT Kota Damansara Station | Sunway Giza Mall | Sunway Nexis | Thomson Hospital Kota Damansara | LDP Highway,https://www.haniproperties.com/images/unitpic/palmaperakARL/pic1.jpg,"Hi Hani, I'm interested in the unit rental at Palma Perak, Kota Damansara. Price: RM1500. Ref: ARL",20/7/2026,https://t.me/AlphaRiseListingg/3485,Immediate,ARL,-
