listing_type	area	zone	project_name	price	bed	bath	size	furnishing	type	tenure	room_type	bath_type	anchors	image	wa_text
unit	Puchong	Bandar 16 Sierra	Zentro Residences	3600.0	4	2	969	Fully Furnished	Service Residence				MRT 16 Sierra • Sierra Fresco • Multimedia University • Hospital Serdang • AEON Taman Equine • MEX Highway		Hi Hani, I'm interested in the unit rental at Zentro Residences, Bandar 16 Sierra.
unit	Puchong	Bandar 16 Sierra	Zentro Residences	3600.0	4	2	969	Fully Furnished	Service Residence				MRT 16 Sierra • Sierra Fresco • Multimedia University • Hospital Serdang • AEON Taman Equine • MEX Highway		Hi Hani, I'm interested in the unit rental at Zentro Residences, Bandar 16 Sierra.
unit	Cheras	Taman Suntex	You City III	2800.0	3	2	893	Fully Furnished	Apartment				MRT Taman Suntex • You City Retail Mall • No • Columbia Asia Hospital Cheras • No • SUKE		Hi Hani, I'm interested in the unit rental at You City III, Taman Suntex.
unit	Cheras	Cheras	You City 3	3300.0	4	2	1033	Fully Furnished	Service Residence				MRT Taman Suntex • Cheras Leisure Mall • UTAR Cheras • Hospital Cheras • AEON Big Cheras Selatan • SUKE Highway		Hi Hani, I'm interested in the unit rental at You City 3, Cheras.
unit	Kuala Lumpur	Taman Desa	Vivo Residential Suites	2900.0	3	2	1072	Fully Furnished	Condominium				Seputeh KTM Station • Mid Valley Megamall • Universiti Malaya (UM) • Pantai Hospital Kuala Lumpur • ECONSAVE Jalan Klang Lama • SPRINT Highway		Hi Hani, I'm interested in the unit rental at Vivo Residential Suites, Taman Desa.
unit	Sentul	Sentul	Vista Sentul Residence	1900.0	3	2	958	Fully Furnished	Apartment				24-Hour Security • Swimming Pool • Gymnasium • Children's Playground • Multipurpose Hall • Surau • BBQ Area		Hi Hani, I'm interested in the unit rental at Vista Sentul Residence, Sentul.
unit	Puchong	Bandar Kinrara	Vista Lavender	1100.0	3	2	1017	Partially Furnished	Apartment				Swimming Pool • Wading Pool • Gymnasium • Multipurpose Hall • Playground • 24-Hour Security		Hi Hani, I'm interested in the unit rental at Vista Lavender, Bandar Kinrara.
unit	Kajang	Taman Universiti	Vista Hijauan	1400.0	3	2	1007	Unfurnished	Apartment				KTM UKM • Bangi Gateway • UKM • Hospital Kajang • Econsave Bangi • LEKAS Highway		Hi Hani, I'm interested in the unit rental at Vista Hijauan, Taman Universiti.
unit	Sentul	Sentul	Vista Harmoni Residence	2200.0	3	3	1200	Fully Furnished	Condominium				Sentul Timur LRT Station • Shaw Parade • UTAR Setapak • KPJ Tawakkal Specialist Hospital • Giant Sentul • DUKE		Hi Hani, I'm interested in the unit rental at Vista Harmoni Residence, Sentul.
unit	Klang	Taman Bayu Perdana	Vista Bayu	1300.0	3	2	970	Partially Furnished	Apartment				KTM Klang • AEON Bukit Tinggi • SMK Bayu Perdana • Hospital Tengku Ampuan Rahimah • Giant Klang • KESAS		Hi Hani, I'm interested in the unit rental at Vista Bayu, Taman Bayu Perdana.
unit	Bangi	Bandar Baru Bangi	Vista Bangi	1800.0	1	1	501	Fully Furnished	SOHO				Bangi KTM Station • AEON Mall Bangi • Universiti Kebangsaan Malaysia • Hospital Canselor Tuanku Muhriz • Giant Bangi • SILK Highway		Hi Hani, I'm interested in the unit rental at Vista Bangi, Bandar Baru Bangi.
unit	Kajang	Bandar Baru Bangi	Vista Bangi	1500.0	3	2	850	Unfurnished	Service Residence				KTM Bangi • AEON Bangi • UKM • Hospital Canselor Tuanku Muhriz • Giant Kajang • SILK Highway		Hi Hani, I'm interested in the unit rental at Vista Bangi, Bandar Baru Bangi.
unit	Kajang	Bandar Baru Bangi	Vista Bangi	1800.0	3	2	850	Unfurnished	Service Residence				UKM Bangi Komuter Station • Evo Mall • Universiti Kebangsaan Malaysia (UKM) • Hospital Kajang • Econsave Bangi • SILK Highway		Hi Hani, I'm interested in the unit rental at Vista Bangi, Bandar Baru Bangi.
unit	Shah Alam	Seksyen 14	Vista Alam	2100.0	3	2	1100	Partially Furnished	Service Residence				Swimming Pool • Gymnasium • Playground • Jogging Track • 24-Hour Security • Minimart		Hi Hani, I'm interested in the unit rental at Vista Alam, Seksyen 14.
unit	Nilai	Bandar Baru Nilai	Vision City Youth City	800.0	5	2	1100	Fully Furnished	Service Residence				KTM Batang Benar (~8km) • AEON Mall Nilai (walking) • Manipal International University (~8 mins) • Aurelius Specialist Hospital Nilai (~3km) • Lotus's Nilai (walking) • LEKAS (~3km)		Hi Hani, I'm interested in the unit rental at Vision City Youth City, Bandar Baru Nilai.
unit	Nilai	Bandar Baru Nilai	Vision City Youth City	1300.0	1	1	528	Fully Furnished	Studio				KTM Batang Benar (~8km) • AEON Mall Nilai (walking) • Manipal International University (~8 mins) • Aurelius Specialist Hospital Nilai (~3km) • Lotus's Nilai (walking) • LEKAS (~3km)		Hi Hani, I'm interested in the unit rental at Vision City Youth City, Bandar Baru Nilai.
unit	Nilai	Bandar Baru Nilai	Vision City (Youth City)	2000.0	2	2	735	Fully Furnished	Service Residence				KTM Nilai • AEON Nilai • INTI International University • Hospital Nilai • Giant Nilai • PLUS Highway		Hi Hani, I'm interested in the unit rental at Vision City (Youth City), Bandar Baru Nilai.
unit	Shah Alam	Alam Impian	Viola Alam Impian Alam Impian 2-Storey Terrace	2900.0	4	4	2200	Partially Furnished	Landed				KESAS Highway		Hi Hani, I'm interested in the unit rental at Viola Alam Impian Alam Impian 2-Storey Terrace, Alam Impian.
